_id,Codice_ateco,Descrizione_ateco
1044,28.9,28.9 - FABBRICAZIONE DI ALTRE MACCHINE PER IMPIEGHI SPECIALI
1045,28.91,28.91 - Fabbricazione di macchine per la metallurgia
1046,28.91.0,28.91.0 - Fabbricazione di macchine per la metallurgia (incluse parti e accessori)
1047,28.91.00,28.91.00 - Fabbricazione di macchine per la metallurgia (incluse parti e accessori)
1048,28.92,"28.92 - Fabbricazione di macchine da miniera, cava e cantiere"
1049,28.92.0,"28.92.0 - Fabbricazione di macchine da miniera, cava e cantiere (incluse parti e accessori)"
1050,28.92.01,"28.92.01 - Fabbricazione di macchine per il trasporto a cassone ribaltabile per impiego specifico in miniere, cave e cantieri"
1051,28.92.09,"28.92.09 - Fabbricazione di altre macchine da miniera, cava e cantiere (incluse parti e accessori)"
1052,28.93,"28.93 - Fabbricazione di macchine per l'industria alimentare, delle bevande e del tabacco"
1053,28.93.0,"28.93.0 - Fabbricazione di macchine per l'industria alimentare, delle bevande e del tabacco (incluse parti e accessori)"
1054,28.93.00,"28.93.00 - Fabbricazione di macchine per l'industria alimentare, delle bevande e del tabacco (incluse parti e accessori)"
1055,28.94,"28.94 - Fabbricazione di macchine per le industrie tessili, dell'abbigliamento e del cuoio (incluse parti e accessori)"
1056,28.94.1,"28.94.1 - Fabbricazione di macchine tessili, di macchine e di impianti per il trattamento ausiliario dei tessili, di macchine per cucire e per maglieria (incluse parti e accessori)"
1057,28.94.10,"28.94.10 - Fabbricazione di macchine tessili, di macchine e di impianti per il trattamento ausiliario dei tessili, di macchine per cucire e per maglieria (incluse parti e accessori)"
1058,28.94.2,"28.94.2 - Fabbricazione di macchine e apparecchi per l'industria delle pelli, del cuoio e delle calzature (incluse parti e accessori)"
1059,28.94.20,"28.94.20 - Fabbricazione di macchine e apparecchi per l'industria delle pelli, del cuoio e delle calzature (incluse parti e accessori)"
1060,28.94.3,28.94.3 - Fabbricazione di apparecchiature e di macchine per lavanderie e stirerie (incluse parti e accessori)
1061,28.94.30,28.94.30 - Fabbricazione di apparecchiature e di macchine per lavanderie e stirerie (incluse parti e accessori)
1062,28.95,28.95 - Fabbricazione di macchine per l'industria della carta e del cartone (incluse parti e accessori)
1063,28.95.0,28.95.0 - Fabbricazione di macchine per l'industria della carta e del cartone (incluse parti e accessori)
1064,28.95.00,28.95.00 - Fabbricazione di macchine per l'industria della carta e del cartone (incluse parti e accessori)
1065,28.96,28.96 - Fabbricazione di macchine per l'industria delle materie plastiche e della gomma (incluse parti e accessori)
1066,28.96.0,28.96.0 - Fabbricazione di macchine per l'industria delle materie plastiche e della gomma (incluse parti e accessori)
1067,28.96.00,28.96.00 - Fabbricazione di macchine per l'industria delle materie plastiche e della gomma (incluse parti e accessori)
1068,28.99,28.99 - Fabbricazione di macchine per impieghi speciali nca (incluse parti e accessori)
1069,28.99.1,28.99.1 - Fabbricazione di macchine per la stampa e la legatoria (incluse parti e accessori)
1070,28.99.10,28.99.10 - Fabbricazione di macchine per la stampa e la legatoria (incluse parti e accessori)
1071,28.99.2,28.99.2 - Fabbricazione di robot industriali per usi molteplici (incluse parti e accessori)
1072,28.99.20,28.99.20 - Fabbricazione di robot industriali per usi molteplici (incluse parti e accessori)
1073,28.99.3,28.99.3 - Fabbricazione di apparecchi per istituti di bellezza e centri di benessere
1074,28.99.30,28.99.30 - Fabbricazione di apparecchi per istituti di bellezza e centri di benessere
1075,28.99.9,28.99.9 - Fabbricazione di altre macchine per impieghi speciali nca (incluse parti e accessori)
1076,28.99.91,"28.99.91 - Fabbricazione di apparecchiature per il lancio di aeromobili, catapulte per portaerei e apparecchiature simili"
1077,28.99.92,"28.99.92 - Fabbricazione di giostre, altalene ed altre attrezzature per parchi di divertimento"
1078,28.99.93,28.99.93 - Fabbricazione di apparecchiature per l'allineamento e il bilanciamento delle ruote; altre apparecchiature per il bilanciamento
1079,28.99.99,28.99.99 - Fabbricazione di altre macchine ed attrezzature per impieghi speciali nca (incluse parti e accessori)
1080,29,"29 - FABBRICAZIONE DI AUTOVEICOLI, RIMORCHI E SEMIRIMORCHI"
1081,29.1,29.1 - FABBRICAZIONE DI AUTOVEICOLI
1082,29.10,29.10 - Fabbricazione di autoveicoli
1083,29.10.0,29.10.0 - Fabbricazione di autoveicoli
1084,29.10.00,29.10.00 - Fabbricazione di autoveicoli
1085,29.2,"29.2 - FABBRICAZIONE DI CARROZZERIE PER AUTOVEICOLI, RIMORCHI E SEMIRIMORCHI"
1086,29.20,"29.20 - Fabbricazione di carrozzerie per autoveicoli, rimorchi e semirimorchi"
1087,29.20.0,"29.20.0 - Fabbricazione di carrozzerie per autoveicoli, rimorchi e semirimorchi"
1088,29.20.00,"29.20.00 - Fabbricazione di carrozzerie per autoveicoli, rimorchi e semirimorchi"
1089,29.3,29.3 - FABBRICAZIONE DI PARTI ED ACCESSORI PER AUTOVEICOLI E LORO MOTORI
1090,29.31,29.31 - Fabbricazione di apparecchiature elettriche ed elettroniche per autoveicoli e loro motori
1091,29.31.0,29.31.0 - Fabbricazione di apparecchiature elettriche ed elettroniche per autoveicoli e loro motori
1092,29.31.00,29.31.00 - Fabbricazione di apparecchiature elettriche ed elettroniche per autoveicoli e loro motori
1093,29.32,29.32 - Fabbricazione di altre parti ed accessori per autoveicoli
1094,29.32.0,29.32.0 - Fabbricazione di altre parti ed accessori per autoveicoli
1095,29.32.01,29.32.01 - Fabbricazione di sedili per autoveicoli
1096,29.32.09,29.32.09 - Fabbricazione di altre parti ed accessori per autoveicoli e loro motori nca
1097,30,30 - FABBRICAZIONE DI ALTRI MEZZI DI TRASPORTO
1098,30.1,30.1 - COSTRUZIONE DI NAVI E IMBARCAZIONI
1099,30.11,30.11 - Costruzione di navi e di strutture galleggianti
1100,30.11.0,30.11.0 - Cantieri navali per costruzioni metalliche e non metalliche
1101,30.11.01,30.11.01 - Fabbricazione di sedili per navi
1102,30.11.02,30.11.02 - Cantieri navali per costruzioni metalliche e non metalliche (esclusi i sedili per navi)
1103,30.12,30.12 - Costruzione di imbarcazioni da diporto e sportive
1104,30.12.0,30.12.0 - Costruzione di imbarcazioni da diporto e sportive
1105,30.12.00,30.12.00 - Costruzione di imbarcazioni da diporto e sportive
1106,30.2,30.2 - COSTRUZIONE DI LOCOMOTIVE E DI MATERIALE ROTABILE FERROTRANVIARIO
1107,30.20,30.20 - Costruzione di locomotive e di materiale rotabile ferro-tranviario
1108,30.20.0,"30.20.0 - Costruzione di materiale rotabile ferroviario, tranviario, filoviario, per metropolitane e per miniere"
1109,30.20.01,"30.20.01 - Fabbricazione di sedili per tram, filovie e metropolitane"
1110,30.20.02,"30.20.02 - Costruzione di altro materiale rotabile ferroviario, tranviario, filoviario, per metropolitane e per miniere"
1111,30.3,"30.3 - FABBRICAZIONE DI AEROMOBILI, DI VEICOLI SPAZIALI E DEI RELATIVI DISPOSITIVI"
1112,30.30,"30.30 - Fabbricazione di aeromobili, di veicoli spaziali e dei relativi dispositivi"
1113,30.30.0,"30.30.0 - Fabbricazione di aeromobili, di veicoli spaziali e dei relativi dispositivi"
1114,30.30.01,30.30.01 - Fabbricazione di sedili per aeromobili
1115,30.30.02,30.30.02 - Fabbricazione di missili balistici
1116,30.30.09,"30.30.09 - Fabbricazione di aeromobili, di veicoli spaziali e dei relativi dispositivi nca"
1117,30.4,30.4 - FABBRICAZIONE DI VEICOLI MILITARI DA COMBATTIMENTO
1118,30.40,30.40 - Fabbricazione di veicoli militari da combattimento
1119,30.40.0,30.40.0 - Fabbricazione di veicoli militari da combattimento
1120,30.40.00,30.40.00 - Fabbricazione di veicoli militari da combattimento
1121,30.9,30.9 - FABBRICAZIONE DI MEZZI DI TRASPORTO NCA
1122,30.91,30.91 - Fabbricazione di motocicli (inclusi i motori)
1123,30.91.1,30.91.1 - Fabbricazione di motocicli e motoveicoli (inclusi i motori)
1124,30.91.11,30.91.11 - Fabbricazione di motori per motocicli
1125,30.91.12,30.91.12 - Fabbricazione di motocicli
1126,30.91.2,30.91.2 - Fabbricazione di accessori e pezzi staccati per motocicli e ciclomotori
1127,30.91.20,30.91.20 - Fabbricazione di accessori e pezzi staccati per motocicli e ciclomotori
1128,30.92,30.92 - Fabbricazione di biciclette e veicoli per invalidi
1129,30.92.1,30.92.1 - Fabbricazione e montaggio di biciclette
1130,30.92.10,30.92.10 - Fabbricazione e montaggio di biciclette
1131,30.92.2,30.92.2 - Fabbricazione di parti ed accessori per biciclette
1132,30.92.20,30.92.20 - Fabbricazione di parti ed accessori per biciclette
1133,30.92.3,30.92.3 - Fabbricazione di veicoli per invalidi (incluse parti e accessori)
1134,30.92.30,30.92.30 - Fabbricazione di veicoli per invalidi (incluse parti e accessori)
1135,30.92.4,30.92.4 - Fabbricazione di carrozzine e passeggini per neonati
1136,30.92.40,30.92.40 - Fabbricazione di carrozzine e passeggini per neonati
1137,30.99,30.99 - Fabbricazione di altri mezzi di trasporto nca
1138,30.99.0,30.99.0 - Fabbricazione di veicoli a trazione manuale o animale
1139,30.99.00,30.99.00 - Fabbricazione di veicoli a trazione manuale o animale
1140,31,31 - FABBRICAZIONE DI MOBILI
1141,31.0,31.0 - FABBRICAZIONE DI MOBILI
1142,31.01,31.01 - Fabbricazione di mobili per ufficio e negozi
1143,31.01.1,31.01.1 - Fabbricazione di sedie e poltrone per ufficio e negozi
1144,31.01.10,31.01.10 - Fabbricazione di sedie e poltrone per ufficio e negozi
1145,31.01.2,31.01.2 - Fabbricazione di altri mobili per ufficio e negozi
1146,31.01.21,31.01.21 - Fabbricazione di altri mobili metallici per ufficio e negozi
1147,31.01.22,31.01.22 - Fabbricazione di altri mobili non metallici per ufficio e negozi
1148,31.02,31.02 - Fabbricazione di mobili per cucina
1149,31.02.0,31.02.0 - Fabbricazione di mobili per cucina
1150,31.02.00,31.02.00 - Fabbricazione di mobili per cucina
1151,31.03,31.03 - Fabbricazione di materassi
1152,31.03.0,31.03.0 - Fabbricazione di materassi
1153,31.03.00,31.03.00 - Fabbricazione di materassi
1154,31.09,31.09 - Fabbricazione di altri mobili
1155,31.09.1,31.09.1 - Fabbricazione di mobili per arredo domestico
1156,31.09.10,31.09.10 - Fabbricazione di mobili per arredo domestico
1157,31.09.2,"31.09.2 - Fabbricazione di sedie e sedili (esclusi quelli per aeromobili, autoveicoli, navi, treni, ufficio e negozi)"
1158,31.09.20,"31.09.20 - Fabbricazione di sedie e sedili (esclusi quelli per aeromobili, autoveicoli, navi, treni, ufficio e negozi)"
1159,31.09.3,31.09.3 - Fabbricazione di poltrone e divani
1160,31.09.30,31.09.30 - Fabbricazione di poltrone e divani
1161,31.09.4,31.09.4 - Fabbricazione di parti e accessori di mobili
1162,31.09.40,31.09.40 - Fabbricazione di parti e accessori di mobili
1163,31.09.5,31.09.5 - Finitura di mobili
1164,31.09.50,31.09.50 - Finitura di mobili
1165,31.09.9,31.09.9 - Fabbricazione di altri mobili (inclusi quelli per arredo esterno)
1166,31.09.90,31.09.90 - Fabbricazione di altri mobili (inclusi quelli per arredo esterno)
1167,32,32 - ALTRE INDUSTRIE MANIFATTURIERE
1168,32.1,"32.1 - FABBRICAZIONE DI GIOIELLERIA, BIGIOTTERIA E ARTICOLI CONNESSI; LAVORAZIONE DELLE PIETRE PREZIOSE"
1169,32.11,32.11 - Coniazione di monete
1170,32.11.0,32.11.0 - Coniazione di monete
1171,32.11.00,32.11.00 - Coniazione di monete
1172,32.12,32.12 - Fabbricazione di oggetti di gioielleria e oreficeria e articoli connessi
1173,32.12.1,32.12.1 - Fabbricazione di oggetti di gioielleria ed oreficeria in metalli preziosi o rivestiti di metalli preziosi
1174,32.12.10,32.12.10 - Fabbricazione di oggetti di gioielleria ed oreficeria in metalli preziosi o rivestiti di metalli preziosi
1175,32.12.2,32.12.2 - Lavorazione di pietre preziose e semipreziose per gioielleria e per uso industriale
1176,32.12.20,32.12.20 - Lavorazione di pietre preziose e semipreziose per gioielleria e per uso industriale
1177,32.13,32.13 - Fabbricazione di bigiotteria e articoli simili
1178,32.13.0,32.13.0 - Fabbricazione di bigiotteria e articoli simili
1179,32.13.01,32.13.01 - Fabbricazione di cinturini metallici per orologi (esclusi quelli in metalli preziosi)
1180,32.13.09,32.13.09 - Fabbricazione di bigiotteria e articoli simili nca
1181,32.2,32.2 - FABBRICAZIONE DI STRUMENTI MUSICALI
1182,32.20,32.20 - Fabbricazione di strumenti musicali
1183,32.20.0,32.20.0 - Fabbricazione di strumenti musicali (incluse parti e accessori)
1184,32.20.00,32.20.00 - Fabbricazione di strumenti musicali (incluse parti e accessori)
1185,32.3,32.3 - FABBRICAZIONE DI ARTICOLI SPORTIVI
1186,32.30,32.30 - Fabbricazione di articoli sportivi
1187,32.30.0,32.30.0 - Fabbricazione di articoli sportivi
1188,32.30.00,32.30.00 - Fabbricazione di articoli sportivi
1189,32.4,32.4 - FABBRICAZIONE DI GIOCHI E GIOCATTOLI
1190,32.40,32.40 - Fabbricazione di giochi e giocattoli
1191,32.40.1,32.40.1 - Fabbricazione di giochi (inclusi i giochi elettronici)
1192,32.40.10,32.40.10 - Fabbricazione di giochi (inclusi i giochi elettronici)
1193,32.40.2,32.40.2 - Fabbricazione di giocattoli (inclusi i tricicli e gli strumenti musicali giocattolo)
1194,32.40.20,32.40.20 - Fabbricazione di giocattoli (inclusi i tricicli e gli strumenti musicali giocattolo)
1195,32.5,32.5 - FABBRICAZIONE DI STRUMENTI E FORNITURE MEDICHE E DENTISTICHE
1196,32.50,32.50 - Fabbricazione di strumenti e forniture mediche e dentistiche
1197,32.50.1,"32.50.1 - Fabbricazione di mobili per uso medico, apparecchi medicali, di materiale medicochirurgico e veterinario, di apparecchi e strumenti per odontoiatria (incluse parti staccate e accessori)"
1198,32.50.11,32.50.11 - Fabbricazione di materiale medico-chirurgico e veterinario
1199,32.50.12,32.50.12 - Fabbricazione di apparecchi e strumenti per odontoiatria e di apparecchi medicali (incluse parti staccate e accessori)
1200,32.50.13,"32.50.13 - Fabbricazione di mobili per uso medico, chirurgico, odontoiatrico e veterinario"
1201,32.50.14,32.50.14 - Fabbricazione di centrifughe per laboratori
1202,32.50.2,32.50.2 - Fabbricazione di protesi dentarie (inclusa riparazione)
1203,32.50.20,32.50.20 - Fabbricazione di protesi dentarie (inclusa riparazione)
1204,32.50.3,"32.50.3 - Fabbricazione di protesi ortopediche, altre protesi ed ausili (inclusa riparazione)"
1205,32.50.30,"32.50.30 - Fabbricazione di protesi ortopediche, altre protesi ed ausili (inclusa riparazione)"
1206,32.50.4,32.50.4 - Fabbricazione di lenti oftalmiche
1207,32.50.40,32.50.40 - Fabbricazione di lenti oftalmiche
1208,32.50.5,32.50.5 - Fabbricazione di armature per occhiali di qualsiasi tipo; montatura in serie di occhiali comuni
1209,32.50.50,32.50.50 - Fabbricazione di armature per occhiali di qualsiasi tipo; montatura in serie di occhiali comuni
1210,32.9,32.9 - INDUSTRIE MANIFATTURIERE NCA
1211,32.91,32.91 - Fabbricazione di scope e spazzole
1212,32.91.0,32.91.0 - Fabbricazione di scope e spazzole
1213,32.91.00,32.91.00 - Fabbricazione di scope e spazzole
1214,32.99,32.99 - Altre industrie manifatturiere nca
1215,32.99.1,32.99.1 - Fabbricazione di attrezzature ed articoli di vestiario protettivi di sicurezza
1216,32.99.11,32.99.11 - Fabbricazione di articoli di vestiario ignifughi e protettivi di sicurezza
1217,32.99.12,32.99.12 - Fabbricazione di articoli in plastica per la sicurezza personale
1218,32.99.13,32.99.13 - Fabbricazione di articoli in metallo per la sicurezza personale
1219,32.99.14,32.99.14 - Fabbricazione di maschere antigas
1220,32.99.19,32.99.19 - Fabbricazione di altre attrezzature ed altri articoli protettivi di sicurezza
1221,32.99.2,"32.99.2 - Fabbricazione di ombrelli, bottoni, chiusure lampo, parrucche e affini"
1222,32.99.20,"32.99.20 - Fabbricazione di ombrelli, bottoni, chiusure lampo, parrucche e affini"
1223,32.99.3,32.99.3 - Fabbricazione di oggetti di cancelleria
1224,32.99.30,32.99.30 - Fabbricazione di oggetti di cancelleria
1225,32.99.4,32.99.4 - Fabbricazione di casse funebri
1226,32.99.40,32.99.40 - Fabbricazione di casse funebri
1227,32.99.9,32.99.9 - Fabbricazione di altri articoli nca
1228,32.99.90,32.99.90 - Fabbricazione di altri articoli nca
1229,33,"33 - RIPARAZIONE, MANUTENZIONE ED INSTALLAZIONE DI MACCHINE ED APPARECCHIATURE"
1230,33.1,"33.1 - RIPARAZIONE E MANUTENZIONE DI PRODOTTI IN METALLO, MACCHINE ED APPARECCHIATURE"
1231,33.11,33.11 - Riparazione e manutenzione di prodotti in metallo
1232,33.11.0,33.11.0 - Riparazione e manutenzione di prodotti in metallo
1233,33.11.01,"33.11.01 - Riparazione e manutenzione di stampi, portastampi, sagome, forme per macchine"
1234,33.11.02,33.11.02 - Riparazione e manutenzione di utensileria ad azionamento manuale
1235,33.11.03,"33.11.03 - Riparazione e manutenzione di armi, sistemi d'arma e munizioni"
1236,33.11.04,"33.11.04 - Riparazione e manutenzione di casseforti, forzieri, porte metalliche blindate"
1237,33.11.05,33.11.05 - Riparazione e manutenzione di armi bianche
1238,33.11.06,33.11.06 - Riparazione e manutenzione di container
1239,33.11.07,33.11.07 - Riparazione e manutenzione di carrelli per la spesa
1240,33.11.09,33.11.09 - Riparazione e manutenzione di altri prodotti in metallo
1241,33.12,33.12 - Riparazione e manutenzione di macchinari
1242,33.12.1,33.12.1 - Riparazione e manutenzione di macchine di impiego generale
1243,33.12.10,33.12.10 - Riparazione e manutenzione di macchine di impiego generale
1244,33.12.2,"33.12.2 - Riparazione e manutenzione di forni, fornaci e bruciatori"
1245,33.12.20,"33.12.20 - Riparazione e manutenzione di forni, fornaci e bruciatori"
1246,33.12.3,33.12.3 - Riparazione e manutenzione di macchine e apparecchi di sollevamento e movimentazione (esclusi ascensori)
1247,33.12.30,33.12.30 - Riparazione e manutenzione di macchine e apparecchi di sollevamento e movimentazione (esclusi ascensori)
1248,33.12.4,33.12.4 - Riparazione e manutenzione di attrezzature di uso non domestico per la refrigerazione e la ventilazione
